Listening to port 4567
Connected!!!
0.1 -39.321 -51.2067 1.57256
0.1 -39.4004 -50.7086 1.56573
0.1 -39.3754 -49.7309 1.55036
0.1 -39.0969 -48.6957 1.53416
0.1 -39.0797 -48.0359 1.5261
0.1 -38.8397 -47.2129 1.52493
0.1 -39.3546 -46.4346 1.51544
0.1 -39.2418 -45.194 1.49562
0.1 -39.2016 -44.4452 1.48232
0.1 -38.8964 -43.6589 1.47826
0.1 -39.0543 -42.8829 1.46067
0.1 -38.9676 -41.9206 1.44786
0.1 -38.8094 -41.2364 1.43404
0.1 -38.4975 -39.9695 1.41468
0.1 -38.3793 -38.9609 1.39739
0.1 -38.0701 -38.2264 1.38714
0.1 -38.0673 -37.3132 1.37004
0.1 -37.8096 -36.3298 1.35242
0.1 -37.6658 -35.7119 1.3396
0.1 -37.6384 -34.7347 1.32895
0.1 -37.2573 -34.2526 1.3237
0.1 -36.674 -33.3561 1.32632
